ticker,basis,oos_r_squared,residual_volatility,n_factors
ACWI,linear,0.8836620814354572,0.05460273993168077,3
SPY,linear,0.8175368325736838,0.0729673353121876,3
DIA,linear,0.7593144441246777,0.07255331821902793,3
QQQ,linear,0.6982721591829291,0.12501697556793043,3
IWM,linear,0.7075843272999467,0.12071154263610356,3
EFA,linear,0.7807755924756928,0.07716160301150796,3
EEM,linear,0.6429885950597616,0.11710085067035637,3
AGG,linear,0.6818643781936231,0.03514127919380846,3
SHY,linear,0.3620895753542538,0.01635926803550325,3
IEF,linear,0.7279539964915177,0.04053760825036772,3
TLT,linear,0.7043077149751964,0.08495019029465954,3
TIP,linear,0.6467843223818808,0.03635121926118816,3
LQD,linear,0.7575314879655795,0.04282812265865121,3
HYG,linear,0.6199562596420767,0.047311966571644,3
VNQ,linear,0.5074736056279396,0.134529831520903,3
GLD,linear,0.3900178141162931,0.14898784778631738,3
DBC,linear,0.21895053693192568,0.16394191877794,3
UUP,linear,0.47930715137776103,0.0533324533606501,3
ACWI,gamma,0.8728759047985132,0.057206499611372315,3
SPY,gamma,0.8078103422584111,0.0749787451203078,3
DIA,gamma,0.7479445209479116,0.07431606097694332,3
QQQ,gamma,0.6922129223792333,0.12633158988431095,3
IWM,gamma,0.7016879975395334,0.12196229684844517,3
EFA,gamma,0.7675035838956324,0.0795629048830868,3
EEM,gamma,0.6439146242160227,0.11686462513921872,3
AGG,gamma,0.6686020317075261,0.035853134459057946,3
SHY,gamma,0.35834583741380155,0.01639197310256678,3
IEF,gamma,0.7278004914585314,0.04054809924950864,3
TLT,gamma,0.7084180030906078,0.08435245270369118,3
TIP,gamma,0.6403651130288814,0.03668157051576351,3
LQD,gamma,0.7303014967103889,0.04516584774760672,3
HYG,gamma,0.6020452841491581,0.04840736116525879,3
VNQ,gamma,0.49881802876117276,0.1357015419070895,3
GLD,gamma,0.39489992110239014,0.14823294274682017,3
DBC,gamma,0.22381376999221203,0.16345246644173367,3
UUP,gamma,0.46789528848523876,0.053974599257622574,3
ACWI,nonlinear,0.8740753492440978,0.05763463217260385,3
SPY,nonlinear,0.8085752215289501,0.07543541260882416,3
DIA,nonlinear,0.749654713397854,0.0744612050885234,3
QQQ,nonlinear,0.6928272016783699,0.12679179552621195,3
IWM,nonlinear,0.7022020667178677,0.12210710442600343,3
EFA,nonlinear,0.7685983523528942,0.07979262903385616,3
EEM,nonlinear,0.6469554384758851,0.11670479360077012,3
AGG,nonlinear,0.6652983214634856,0.03605509302205985,3
SHY,nonlinear,0.3610397029309973,0.016399126580519795,3
IEF,nonlinear,0.7273045897187613,0.04058548275221173,3
TLT,nonlinear,0.7074175031198605,0.08445381312327152,3
TIP,nonlinear,0.6393053578576349,0.036713091936985805,3
LQD,nonlinear,0.7284655484088912,0.04530641496105767,3
HYG,nonlinear,0.6038885922038746,0.048440708918530744,3
VNQ,nonlinear,0.49836808160415447,0.1357714988759474,3
GLD,nonlinear,0.3957674320981286,0.14808437285071116,3
DBC,nonlinear,0.2253632610522983,0.1633224310092943,3
UUP,nonlinear,0.4657528164135858,0.05411176916214133,3
ACWI,linear,0.8768964209851712,0.056265036375187656,4
SPY,linear,0.8096590768929309,0.0745833667388235,4
DIA,linear,0.7603001891072991,0.07242691247676153,4
QQQ,linear,0.695540524699415,0.12561324312881228,4
IWM,linear,0.6896273063089834,0.12439467135112738,4
EFA,linear,0.7917951955429966,0.07522539050287061,4
EEM,linear,0.6424127288874747,0.11722328719976063,4
AGG,linear,0.6858507670413021,0.03491569572890246,4
SHY,linear,0.3729344732129255,0.016215445510046046,4
IEF,linear,0.7388008489823614,0.039719600902654,4
TLT,linear,0.7183123836221463,0.08293386299706208,4
TIP,linear,0.6770649752079408,0.034753989136632885,4
LQD,linear,0.7599925103601788,0.042603026613961786,4
HYG,linear,0.603937007438882,0.04830373501749489,4
VNQ,linear,0.4880465123025596,0.13715751348909105,4
GLD,linear,0.39158529780158635,0.1487838166336335,4
DBC,linear,0.7327010694229608,0.0957841187567543,4
UUP,linear,0.7470440557309046,0.037079194996854005,4
ACWI,gamma,0.8720064880178408,0.057577412047318484,4
SPY,gamma,0.8037757441421185,0.07584299072259562,4
DIA,gamma,0.7527055531623565,0.07366974535779082,4
QQQ,gamma,0.6949415380850854,0.12583585290180707,4
IWM,gamma,0.6887218156301316,0.12464316254321503,4
