ticker,basis,oos_r_squared,residual_volatility,experiment,base_factors,residual_factors
ACWI,linear,0.890634532187926,0.05294842434707149,base_plus_residual_pca,8,1
SPY,linear,0.828532966103647,0.07073394192118265,base_plus_residual_pca,8,1
DIA,linear,0.789763236787972,0.06777623399777455,base_plus_residual_pca,8,1
QQQ,linear,0.7549055067372059,0.112584576179524,base_plus_residual_pca,8,1
IWM,linear,0.7271573252917007,0.11660034852649971,base_plus_residual_pca,8,1
EFA,linear,0.8193133068888467,0.06999324578040139,base_plus_residual_pca,8,1
EEM,linear,0.6639667498032422,0.11361809768709552,base_plus_residual_pca,8,1
AGG,linear,0.7385049188896107,0.031859838993833094,base_plus_residual_pca,8,1
SHY,linear,0.5367960465395982,0.013919078859222023,base_plus_residual_pca,8,1
IEF,linear,0.7760033777422523,0.036784121588673065,base_plus_residual_pca,8,1
TLT,linear,0.7754258747964946,0.07401287271408069,base_plus_residual_pca,8,1
TIP,linear,0.6811564325541828,0.0345377226234914,base_plus_residual_pca,8,1
LQD,linear,0.814027604858061,0.03750854793438221,base_plus_residual_pca,8,1
HYG,linear,0.7470675155997442,0.038556728461123846,base_plus_residual_pca,8,1
VNQ,linear,0.8971976223407571,0.06141137762774638,base_plus_residual_pca,8,1
GLD,linear,0.8289132473155634,0.07836242715280003,base_plus_residual_pca,8,1
DBC,linear,0.900342902437943,0.058318185956785125,base_plus_residual_pca,8,1
UUP,linear,0.8428944818681244,0.02917238471383549,base_plus_residual_pca,8,1
ACWI,linear,0.8904391751829517,0.052998971754444096,base_plus_residual_pca,8,2
SPY,linear,0.8431280342231875,0.06757192224011443,base_plus_residual_pca,8,2
DIA,linear,0.8114763213351914,0.0641054675320712,base_plus_residual_pca,8,2
QQQ,linear,0.767562636202723,0.10957506845247234,base_plus_residual_pca,8,2
IWM,linear,0.7273259188264116,0.11655746867144841,base_plus_residual_pca,8,2
EFA,linear,0.8277066086196866,0.0683375960864275,base_plus_residual_pca,8,2
EEM,linear,0.7739723840715501,0.09311378003226332,base_plus_residual_pca,8,2
AGG,linear,0.738529050309509,0.03185830163302329,base_plus_residual_pca,8,2
SHY,linear,0.538834881904144,0.013886851261617943,base_plus_residual_pca,8,2
IEF,linear,0.7762324558939641,0.03676529834607459,base_plus_residual_pca,8,2
TLT,linear,0.7755841714875,0.07398469916262773,base_plus_residual_pca,8,2
TIP,linear,0.6891614038616938,0.03410093145938135,base_plus_residual_pca,8,2
LQD,linear,0.8139068517865514,0.03751917666106589,base_plus_residual_pca,8,2
HYG,linear,0.747893915185831,0.0384971688962342,base_plus_residual_pca,8,2
VNQ,linear,0.9063557474573612,0.05858867324410775,base_plus_residual_pca,8,2
GLD,linear,0.8296398356316359,0.07819421293386565,base_plus_residual_pca,8,2
DBC,linear,0.8993862571650529,0.05861507639793153,base_plus_residual_pca,8,2
UUP,linear,0.8720936834831938,0.026314742172155167,base_plus_residual_pca,8,2
ACWI,linear,0.8802019741297711,0.05547018115727551,base_plus_residual_pca,8,3
SPY,linear,0.833631109192742,0.06961971834059454,base_plus_residual_pca,8,3
DIA,linear,0.7963329167907711,0.06666272674788606,base_plus_residual_pca,8,3
QQQ,linear,0.7638812946843995,0.11044388819544941,base_plus_residual_pca,8,3
IWM,linear,0.7187147468551787,0.11838245467437639,base_plus_residual_pca,8,3
EFA,linear,0.8331696462532527,0.0672106110114502,base_plus_residual_pca,8,3
EEM,linear,0.8062937360033446,0.08613087920167845,base_plus_residual_pca,8,3
AGG,linear,0.7504164157961137,0.031125709878297294,base_plus_residual_pca,8,3
SHY,linear,0.5413772733955813,0.013848461218420701,base_plus_residual_pca,8,3
IEF,linear,0.7972235067118469,0.03499842083265115,base_plus_residual_pca,8,3
TLT,linear,0.8221856348543203,0.06582794351817425,base_plus_residual_pca,8,3
TIP,linear,0.7024744908872085,0.03336196329272157,base_plus_residual_pca,8,3
LQD,linear,0.8123742660255294,0.0376733491421523,base_plus_residual_pca,8,3
HYG,linear,0.7338536731264363,0.039555252554407026,base_plus_residual_pca,8,3
VNQ,linear,0.9029873216332023,0.05962953326309159,base_plus_residual_pca,8,3
GLD,linear,0.8314797886944906,0.07775747966791086,base_plus_residual_pca,8,3
DBC,linear,0.8984227733600891,0.058895714135538055,base_plus_residual_pca,8,3
UUP,linear,0.8724630837734519,0.026274699679434854,base_plus_residual_pca,8,3
