,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
PRPFX,0.3806611023638984,0.39525156926341076,0.12642686329094097,0.021996149205338014,0.03660133324726978,0.008363154552178285,0.00643307918162755,0.02517418991167032
DBMF,0.32190944821034695,0.3350453987048908,0.09380912288712215,0.13614417982615998,0.018425358880829253,0.04234532641064011,0.04947984980867376,0.0037487562876709992
KMLM,0.06060274794719613,0.1320171523757389,0.2781907958754234,0.2789616162885718,0.08303886386539414,0.13892334727233263,-0.004942063737874057,0.034114981129550984
BTAL,0.8534290772366647,-0.018826063939276348,0.018840983874938915,0.018941325825972813,0.019408117154339932,0.04830252785459671,0.001473302212479449,0.05933817079661793
RPAR,0.14005995742871316,0.797141849346829,0.041544776641141104,-0.0031784257551767574,0.0012382296174832602,-0.01733254184471642,0.040590505232542456,0.0008430903495175116
MNA,0.7061728562003613,0.25196709785940796,0.002593645536009644,0.00871092775866818,0.011700213461131833,-0.005005774960077907,-0.002469964843033803,0.02723844000386621
CTA,0.42732526819354927,0.24853638230158956,0.05410198603989991,0.050352223055124344,0.07977119105238775,0.11782610121026156,0.024084555976945178,-0.0010902668134232163
MTUM,0.7059392099849845,0.2083409496573129,0.01992388946378678,0.003003987384984252,0.014912912628580704,0.025640665863824248,0.020674966210117128,0.0024708598227434434
QUAL,0.774282780077845,0.19036913443759124,0.021081317892841202,0.0012118421792335983,0.002418327413055686,0.0050601096139734,0.0013084247012651975,0.005175504700528466
USMV,0.6415515920877921,0.28178950866560065,0.04532018359649485,-0.0014102656444236867,0.012831960038400725,-0.010725183323107412,-0.0010693166405710442,0.03261896223614763
VLUE,0.883929561777481,0.1052247692201099,0.01015126489142868,0.008838484200755834,-0.0017673464222147796,-0.0024559557316528764,-0.008638522966915576,0.005625186047341721
JEPI,0.6123042229585802,0.3013004629579875,0.07384669384670518,0.002915338240658771,0.00012447111770771176,-0.009677509891249853,0.004636979107365078,0.015456782678579358
DIVO,0.8021990254037062,0.17561287579380158,0.02005358438559029,0.005833731799415135,-0.002036147130714913,-0.0031470437485195267,-0.007384075457687211,0.009775489970742183
ARKK,0.6566679495696889,0.21957235833103203,0.00814866738628103,0.006916688889977032,0.01650799538071581,0.06652366533986738,0.019786472369680008,0.006783643749091689
QAI,0.5344724847878186,0.4291304991463338,0.0025913572597872922,0.005385192238126688,2.8441339338149584e-05,0.013193603900905824,0.011700667599352314,0.004405194744671006
^PUT,0.593812770768815,0.13242127651535543,0.22182201669351123,0.03131529748592895,0.005377191470639791,-0.004494086860011398,-0.002156385507104463,0.022809360449199186
