ticker,alpha,beta_Factor_1,beta_Factor_2,beta_Factor_3,beta_Factor_4,beta_Factor_5,beta_Factor_6,beta_Factor_7,beta_Factor_8
PRPFX,0.0,0.001124922279857921,0.00110708675106084,-0.0013344396136423147,0.000841233513686522,-0.0005048354053768182,0.0011814804289365195,0.0003265007878560445,0.0009441274616973226
DBMF,0.0,0.0008213377194696365,0.0009636325240607965,-0.0008117610705489183,0.0018378011736933562,-0.0004540701742265264,0.0013497122768315031,0.0012021668690380006,-0.0003392633683132272
KMLM,0.0,0.0008911478226752622,-0.0010874695959576471,-0.0031164978544507213,0.004039675489942555,0.0026697522052568545,0.0024837316069018195,-0.00021540674868990433,-0.0010962690096350844
BTAL,0.0,-0.0014600173461423874,0.00017026173997924276,0.00015158439584094787,-0.00030715037475568147,-0.00042958730672344443,6.678937719289094e-05,0.0005062884000012527,0.0011610341981255674
RPAR,0.0,0.0007960675966593291,0.0025785556487412354,-0.0011900415176022531,0.00042536584847230205,-0.0002588444288560765,0.0007661812445916232,0.0018446563066276747,-0.00037234167599307504
MNA,0.0,0.0005996915393453433,0.0002571037296777683,6.283240072190262e-05,0.0002097173887794572,-3.5808162176409746e-05,0.0002745088937959799,6.212763969766181e-05,0.000156127896198756
CTA,0.0,0.0010962380617282894,0.0018917191915754032,0.0025434112123596765,0.006244401568051293,-0.005200045720490471,0.0033800199385474483,0.0016118554096200084,0.007605916178908115
MTUM,0.0,0.003393667675144533,0.0013549344220276777,0.0012363763282595313,0.0011158827896351363,-0.001213362884241063,-0.0010237421181444651,0.0010361536371096315,0.0005863595163053731
QUAL,0.0,0.00324735830092759,0.0011147970071003106,0.0010529442448509426,0.0006863816454758978,-0.00025188994313146294,-0.0002764813811324736,2.0605885938557765e-05,0.0008868089615005906
USMV,0.0,0.0021190916537071965,0.0010618612170385543,0.0012381297110903792,0.000516593173612477,-0.00011370362717859811,0.0009644523908472387,-0.0002311295927047314,0.0013711317426350481
VLUE,0.0,0.003409468519420384,0.0006999243794032096,0.00037519876663061997,0.0007108932060034313,0.0005909116969387429,0.00032039561961728056,-0.0005523122587055559,0.0009811505588079117
JEPI,0.0,0.001999986364094838,0.0010111203645721835,0.0010893370454160812,0.00010976362907948607,-0.00016940259047858685,0.0006900487558354014,0.00010033089072609521,0.0011073290804971226
DIVO,0.0,0.0026784101536883264,0.0008723127260294147,0.0005948625051986335,0.000598745788606123,0.0003833116372235759,0.000564963957875954,-0.0006490847779779065,0.0010438370324695018
ARKK,0.0,0.004610393164297815,0.0020905248118769813,0.0012295424889749993,0.0021661839293163135,-0.0017654849766360274,-0.00274432138185493,0.0016910590856236848,-0.0014847110329850167
QAI,0.0,0.0007246868122318153,0.0005641907018542889,0.00011980248665806522,4.567302623663874e-05,0.00015460653261269573,-7.099710901042292e-05,0.00029716291650863506,-0.0002670247699556176
^PUT,0.0,0.00207217863975896,0.00072824692102997,0.0016436679276736635,0.0016222852311972799,0.0008511015811335374,0.0005821676776635244,-0.0002865889871366718,0.0010513876007859936
